Task,Trial,MeasuredSampleRate_Hz,NeutralHoldSD_deg,YawTrend_deg_per_s,NeutralPhoneInclination_deg
"Seated, laptop",1,49.917129764978455,1.0073079826892957,-1.0305959732208407,10.86400768496324
"Seated, laptop",2,49.919563203877495,0.6107961865465616,0.03331847783691096,24.12969115285219
"Seated, laptop",3,49.918954821887915,1.1640469605179498,-0.10047918868630043,18.21807894526576
"Standing, laptop",1,49.91895482198087,0.3147935102106692,-0.17669233415129126,14.354376797886985
"Standing, laptop",2,49.91773810253189,0.4316343908912803,0.05878180651170428,14.878093490522232
"Standing, laptop",3,49.91773810249648,1.4293308276196737,0.22169278102183532,27.04041285844046
"Standing, phone",1,49.91773810249648,1.8444476199361115,0.3594777157649634,8.165082488791455
"Standing, phone",2,49.91834645473601,0.7426175919746153,0.0835146937959475,18.70618962050213
"Standing, phone",3,49.91834645480683,0.8373347628677565,0.12224612247012735,14.27067173297641
Eating,1,49.917129765049275,0.7655097814068577,-0.1557856091935171,6.497307359668838
Eating,2,49.91104720591254,0.5136464345286365,-0.06953087489121582,17.803493882519064
Eating,3,49.91348005178891,1.338383308434186,-0.09952145701078371,21.21114910177569
Walking,1,49.92138843861652,2.446035251056125,8.0395845834653,11.566601193294758
Walking,2,49.919563203877495,0.9835222028760336,9.75980929391308,8.644373474000645
Walking,3,49.91834645477142,2.3243985395711264,5.290674675632557,16.917313986352653
