TurnThreshold_deg_per_s,WalkingFlexExt_ROM_Mean_deg,WalkingKept_pct
20,11.939341755622698,69.26666666666667
25,11.691169346224157,76.53333333333335
30,11.684190041860866,77.36666666666666
